UID        PID  PPID  C STIME TTY          TIME CMD
rafi      1762  1513  0 10:21 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
rafi      1770  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
rafi      1785  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
rafi      1786  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
rafi      1791  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
rafi      1797  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
rafi      1798  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
rafi      1799  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
rafi      1804  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
rafi      1806  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
rafi      1829  1513  0 10:21 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rafi      1858  1513  0 10:21 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
rafi      1860  1513  0 10:21 ?        00:00:00 /usr/lib/dconf/dconf-service
rafi      1864  1513  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
rafi      1902  1513  0 10:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
rafi      1925  1762  0 10:21 ?        00:00:00 nm-applet
rafi      1932  1762  0 10:21 ?        00:00:02 nautilus -n
rafi      1933  1762  0 10:21 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
rafi      1938  1513  0 10:21 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
rafi      1942  1762  0 10:21 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
rafi      1955  1762  0 10:21 ?        00:00:01 /usr/bin/gnome-software --gapplication-service
root      1963     1  0 10:21 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
rafi      1974  1513  0 10:21 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
rafi      1979  1513  0 10:21 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
rafi      1980  1513  5 10:21 ?        00:00:34 compiz
rafi      1985  1513  0 10:21 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
rafi      1991  1513  0 10:21 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
root      2022     1  0 10:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
rafi      2033  1902  0 10:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1902x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1902/2
rafi      2044  1902  0 10:21 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1902x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1902/3
rafi      2046  1513  0 10:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
rafi      2059  1513  0 10:21 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
rafi      2079  2059  0 10:22 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2059x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2059/2
root      2084     2  0 10:22 ?        00:00:00 [kworker/0:5]
rafi      2128  1762  0 10:22 ?        00:00:00 zeitgeist-datahub
rafi      2135  1513  0 10:22 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
rafi      2139  2135  0 10:22 ?        00:00:00 /usr/bin/zeitgeist-daemon
rafi      2147  1513  0 10:22 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
rafi      2188  1762  0 10:22 ?        00:00:00 update-notifier
root      2228     1  0 10:23 ?        00:00:00 /usr/bin/python3 /usr/sbin/aptd
rafi      2235  1762  0 10:23 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root      2315     1  0 10:24 ?        00:00:00 /usr/sbin/cupsd -l
root      2316     1  0 10:24 ?        00:00:00 /usr/sbin/cups-browsed
lp        2320  2315  0 10:24 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
rafi      2397  1513  0 10:28 ?        00:00:00 /usr/lib/gvfs/gvfsd-network --spawner :1.3 /org/gtk/gvfs/exec_spaw/1
rafi      2426  1513  0 10:28 ?        00:00:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/5
rafi      2441  1513  0 10:28 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
root      2455     2  0 10:28 ?        00:00:00 [kworker/0:0]
rafi      2483  1513  0 10:29 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
rafi      2495  1513  0 10:29 ?        00:00:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
rafi      2496  1513  0 10:29 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
rafi      2539  1513  0 10:29 ?        00:00:00 /usr/lib/gnome-terminal/gnome-terminal-server
rafi      2546  2539  0 10:29 pts/4    00:00:00 bash
rafi      2580  2546  0 10:33 pts/4    00:00:00 ps -ef
